Date,Amount,Category
2023-04-01,125.50,Groceries
2023-04-03,35.00,Entertainment
2023-04-05,950.00,Housing
2023-04-08,42.75,Transportation
2023-04-10,78.25,Food
2023-04-12,150.00,Utilities
2023-04-15,65.99,Shopping
2023-04-18,95.50,Healthcare
2023-04-20,110.25,Groceries
2023-04-22,25.00,Entertainment
2023-04-25,38.50,Transportation
2023-04-28,82.75,Food
2023-05-01,950.00,Housing
2023-05-03,135.50,Groceries
2023-05-05,45.00,Entertainment
2023-05-08,40.25,Transportation
2023-05-10,68.75,Food
2023-05-12,165.00,Utilities
2023-05-15,120.99,Shopping
2023-05-18,55.50,Healthcare
2023-05-20,115.25,Groceries
2023-05-22,30.00,Entertainment
2023-05-25,45.50,Transportation
2023-05-28,90.75,Food
