Transaction Date,Description,Debit,Credit,Balance,Transaction Type
01/05/2023,GROCERY STORE #123,-120.50,0.00,2879.50,Purchase
01/08/2023,MOVIE THEATER #456,-45.00,0.00,2834.50,Purchase
01/10/2023,RENT PAYMENT,-950.00,0.00,1884.50,Payment
01/12/2023,GAS STATION #789,-35.75,0.00,1848.75,Purchase
01/15/2023,RESTAURANT XYZ,-65.25,0.00,1783.50,Purchase
01/18/2023,AMAZON.COM,-22.99,0.00,1760.51,Purchase
01/20/2023,ELECTRIC COMPANY,-150.00,0.00,1610.51,Payment
01/22/2023,TICKETMASTER,-89.99,0.00,1520.52,Purchase
01/25/2023,GROCERY STORE #123,-42.50,0.00,1478.02,Purchase
01/28/2023,UBER,-18.75,0.00,1459.27,Purchase
01/30/2023,MEDICAL CENTER,-75.00,0.00,1384.27,Payment
02/01/2023,PAYROLL DEPOSIT,0.00,3000.00,4384.27,Deposit
02/01/2023,RENT PAYMENT,-950.00,0.00,3434.27,Payment
02/03/2023,GROCERY STORE #123,-110.25,0.00,3324.02,Purchase
02/05/2023,NETFLIX/SPOTIFY,-55.00,0.00,3269.02,Subscription
02/08/2023,GAS STATION #789,-32.50,0.00,3236.52,Purchase
02/10/2023,RESTAURANT ABC,-85.75,0.00,3150.77,Purchase
02/12/2023,INTERNET PROVIDER,-120.00,0.00,3030.77,Payment
02/15/2023,DEPARTMENT STORE,-65.99,0.00,2964.78,Purchase
02/18/2023,GROCERY STORE #123,-45.50,0.00,2919.28,Purchase
02/20/2023,TRANSIT AUTHORITY,-28.75,0.00,2890.53,Purchase
02/22/2023,ONLINE EDUCATION,-200.00,0.00,2690.53,Payment
02/25/2023,BOOKSTORE,-35.00,0.00,2655.53,Purchase
02/28/2023,RENT PAYMENT,-950.00,0.00,1705.53,Payment
03/01/2023,PAYROLL DEPOSIT,0.00,3000.00,4705.53,Deposit
